"","Year","YS","YSP","Site","Point","Num_Trees","Dom_spp","Mean_DBH","Median_DBH","Max_DBH","Spp_maxDBH","Mean_decay","Num_live","Num_snags","Median_health","Num_2BI_Pl","Num_2BI_FD","Num_2BI_Sx","Perc_At","eff_HY","dist_to_cut","edge_near","cut","Spp","N_flg","NEST","type"
"1",1995,"1995_MG","1995_MG_B1","MG","B1",13,"AT",21.23076923,21,28.7,"AT",1.153846154,12,1,"HE",0,0,0,0.615384615,1985,1283.80484501742,5,0,NA,NA,NA,"available"
"2",1995,"1995_MG","1995_MG_B2","MG","B2",17,"AT",17.68235294,17.5,21.7,"AT",1.529411765,16,1,"HE",0,0,0,0.941176471,1985,1376.2901767972,85,0,NA,NA,NA,"available"
"3",1995,"1995_MG","1995_MG_B3","MG","B3",21,"FD",26.12857143,24.1,66.8,"FD",1.19047619,20,1,"HE",0,0,0,0,1985,1472.17094388241,180,0,NA,NA,NA,"available"
"4",1995,"1995_MG","1995_MG_B4","MG","B4",28,"FD",25.46785714,24.6,51.5,"FD",1.107142857,27,1,"HE",0,0,0,0.035714286,1985,1575.87022216955,240,0,NA,NA,NA,"available"
"5",1995,"1995_MG","1995_MG_C1","MG","C1",13,"AT",16.98461538,16,22.6,"AT",1.153846154,12,1,"HE",0,0,0,0.846153846,1985,1278.36052362877,5,0,NA,NA,NA,"available"
"6",1995,"1995_MG","1995_MG_C2","MG","C2",13,"FD",19.61538462,16.5,38.5,"FD",1.153846154,12,1,"HE",0,0,0,0,1985,1376.12004728542,60,0,NA,NA,NA,"available"
"7",1995,"1995_MG","1995_MG_C3","MG","C3",18,"FD",27.13333333,17.3,77.8,"FD",1.388888889,16,2,"HE",0,0,0,0,1985,1479.24600160049,140,0,NA,NA,NA,"available"
"8",1995,"1995_MG","1995_MG_C4","MG","C4",26,"FD",26.63461538,22.6,51.3,"FD",1.653846154,22,4,"HE",1,0,0,0.115384615,1985,1582.19368062639,230,0,NA,NA,NA,"available"
"9",1995,"1995_MG","1995_MG_D1","MG","D1",4,"PL",18.2,17.7,22.5,"PL",1,4,0,"HE",0,0,0,0,1985,1269.6225205921,5,0,NA,NA,NA,"available"
"10",1995,"1995_MG","1995_MG_D2","MG","D2",14,"AT",15.92142857,15.3,21,"FD",1.071428571,14,0,"HE",0,0,0,0.928571429,1985,1363.50815545276,15,0,NA,NA,NA,"available"
"11",1995,"1995_MG","1995_MG_D3","MG","D3",13,"FD",29.33846154,18.2,79.6,"FD",1.461538462,10,3,"HE",0,0,0,0,1985,1471.1894928162,125,0,NA,NA,NA,"available"
"12",1995,"1995_MG","1995_MG_D4","MG","D4",17,"FD",23.28235294,19.5,63.6,"FD",1.117647059,16,1,"HE",0,0,0,0.058823529,1985,1571.12041333566,225,0,NA,NA,NA,"available"
"13",1995,"1995_MG","1995_MG_E1","MG","E1",4,"PL",17.225,16.45,21.7,"AT",1.25,4,0,"HE",0,0,0,0.25,1985,1282.18501681057,5,0,NA,NA,NA,"available"
"14",1995,"1995_MG","1995_MG_E2","MG","E2",19,"FD",23.33157895,20.1,76.7,"FD",1.157894737,18,1,"HE",0,0,0,0,1985,1388.07281103953,40,0,NA,NA,NA,"available"
"15",1995,"1995_MG","1995_MG_E3","MG","E3",24,"FD",21.62916667,18.3,84.5,"FD",1.333333333,22,2,"HE",0,0,0,0,1985,1489.20409597372,90,0,NA,NA,NA,"available"
"16",1995,"1995_MG","1995_MG_E4","MG","E4",22,"FD",33.9,27.35,88.3,"FD",1.318181818,21,1,"HE",0,0,0,0.136363636,1985,1573.58603663246,15,0,NA,NA,NA,"available"
"17",1995,"1995_MG","1995_MG_F1","MG","F1",17,"AT",21.63529412,22.9,31.8,"PL",1.117647059,16,1,"HE",0,0,0,0.764705882,1985,1417.73631286125,30,0,NA,NA,NA,"available"
